T,H0+H12+H13+H20
S625687,H13
S625688,H13
S625689,H13
S626680,H13
S626681,H13
S626682,H13
S626683,H13
S626684,H13
S626685,H13
S626686,H13
S626687,H13
S626688,H13
S626689,H13
S627680,H13
S627681,H13
S627682,H13
S627683,H13
S627684,H13
S627685,H13
S627686,H13
S627687,H13
S627688,H13
S627689,H13
S628680,H13
S628681,H13
S628682,H13
S628683,H13
S628684,H13
S628685,H13
S628686,H13
S628687,H13
S628688,H13
S628689,H13
S629680,H13
S629681,H13
S629682,H13
S629683,H13
S629684,H13
S629685,H13
S629686,H13
S629687,H13
S629688,H13
S629689,H13
S6269,H11+H13
S620690,H11+H13
S620691,H11+H13
S620692,H13
S620693,H13
S620694,H13
S620695,H13
S620696,H13
S620697,H13
S620698,H13
S620699,H13
S621690,H13
S621691,H13
S621692,H13
S621693,H13
S621694,H13
S621695,H13
S621696,H13
S621697,H13
S621698,H13
S621699,H13
S622690,H13
S622691,H13
S622692,H13
S622693,H13
S622694,H13
S622695,H13
S622696,H13
S622697,H13
S622698,H13
S622699,H13
S623690,H13
S623691,H13
S623692,H13
S623693,H13
S623694,H13
S623695,H13
S623696,H13
S623697,H13
S623698,H13
S623699,H13
S624690,H13
S624691,H13
